Key,Source,Context,Changes,English,Russian
buffLumberjackSemiSetBonusDesc,buffs,Buff,,"Even an incomplete set of the Lumberjack allows you to harvest wood more efficiently.\n\nWood production increased by {cvar(.armorSemiLumberjackFSBDisplay01:0)}%","Даже неполный комплек Дровосека, позволяет более эффективно заготавливать древесину.\n\nДобыча дерева увеличена на {cvar(.armorSemiLumberjackFSBDisplay01:0)}%"

armorPreacherHelmetDesc,items,Clothes,,Light Armor\nThe Preacher's positive reputation is highly respected in the trading community. Receive a discount on purchased items.\n\nFull Set Bonus: Increases wasteland experience gained and provides resistance to 1 radiation effect..,Легкая броня\nПоложительная репутация Проповедника пользуется большим уважением в торговом сообществе. Получите скидку на купленные товары.\n\nБонус комплекта: Увеличивает получаемый опыт в пустоше и дает сопротивление к 1 эффекту радиации
armorPreacherOutfitDesc,items,Clothes,,Light Armor\nBlessed by the Lord these threads will keep you protected from evil. Reduces incoming damage.\n\nFull Set Bonus: Increases wasteland experience gained and provides resistance to 1 radiation effect.,Легкая броня\nБлагословенные Господом эти нити защитят вас от зла. Уменьшает входящий урон.\n\nБонус комплекта: Увеличивает получаемый опыт в пустоше и дает сопротивление к 1 эффекту радиации
armorPreacherGlovesDesc,items,Clothes,,Light Armor\nSmite thy enemy. Increases damage dealt to the undead.\n\nFull Set Bonus: Increases wasteland experience gained and provides resistance to 1 radiation effect.,Легкая броня\nПорази врага твоего. Увеличивает урон, наносимый нежити.\n\nБонус комплекта: Увеличивает получаемый опыт в пустоше и дает сопротивление к 1 эффекту радиации
armorPreacherBootsDesc,items,Clothes,,Light Armor\nYou can't do anything if you're dead. Decreases treated healing time of abrasions and breaks.\n\nFull Set Bonus: Increases wasteland experience gained and provides resistance to 1 radiation effect.,Легкая броня\nВы ничего не сможете сделать будучи мертвым. Уменьшает время заживления ссадин и переломов.\n\nБонус комплекта: Увеличивает получаемый опыт в пустоше и дает сопротивление к 1 эффекту радиации
buffPreacherSetBonusTooltip,buffs,Buff,,Preacher Full Set Bonus Active,Бонус за полный комплект священника активен
buffPreacherSemiSetBonusTooltip,buffs,Buff,,Preacher Semi Set Bonus Active,Бонус за полукомплект священника активен
buffPreacherSetBonusDesc,buffs,Buff,,You will be filled with faith in the wasteland.\n\nExperience gained increased by {cvar(.armorPreacherFSBDisplay:0)}% the wasteland.\nGrants resistance to one active radiation effect.,Вы преисполняетесь верой в пустоше.\n\nПолучаемый опыт увеличен на {cvar(.armorPreacherFSBDisplay:0)}% в пустоше.\nДает сопротивление к одному эффекту активной радиации.
buffPreacherSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Preacher set, you will be filled with faith in the wasteland.\n\nExperience gained is increased by {cvar(.armorSemiPreacherFSBDisplay:0)}% in the wasteland","Даже в неполном комплекте Священника, Вы преисполняетесь верой в пустоше.\n\nПолучаемый опыт увеличен на {cvar(.armorSemiPreacherFSBDisplay:0)}% в пустоше"

armorRogueHelmetDesc,items,Clothes,,Light Armor\nA true rogue always recognizes profit. You find more banknotes and dukes in the loot.\n\nFull Set Bonus: Increases damage of bows and crossbows.,Легкая броня\nНастоящий разбойник всегда распознает добычу. Вы находите больше банкнот и дюков в луте.\n\nБонус комплекта: Увеличивает урон луков и арбалетов.
armorRogueOutfitDesc,items,Clothes,,Light Armor\nWounds heal like a dog's. Increases the healing rate of critical wounds.\n\nFull Set Bonus: Increases damage of bows and crossbows.,Легкая броня\nРаны заживают как у собаки. Увеличивет скорость лечения критических ранений.\n\nБонус комплекта: Увеличивает урон луков и арбалетов.
armorRogueGlovesDesc,items,Clothes,,Light Armor\nArrows and bolts do not slip out of my hands at the wrong moment. Increased reload speed of bows and crossbows.\n\nFull Set Bonus: Increases damage of bows and crossbows.,Легкая броня\nСтрелы и болты не выскальзываю из рук в ненужный момент. Увеличена скорость перезарядки луков и арбалетов.\n\nБонус комплекта: Увеличивает урон луков и арбалетов.
armorRogueBootsDesc,items,Clothes,,Light Armor\nAlmost a ninja. Less noise and faster movement in stealth.\n\nFull Set Bonus: Increases damage of bows and crossbows.,Легкая броня\nПочти ниндзя. Меньше шума и быстрее передвижение в стелсе.\n\nБонус комплекта: Увеличивает урон луков и арбалетов.
buffRogueSetBonusTooltip,buffs,Buff,,Rogue Full Set Bonus Active,Бонус за полный комплект разбойника активен
buffRogueSemiSetBonusTooltip,buffs,Buff,,Rogue Semi Set Bonus Active,Бонус за полукомплект разбойника активен
buffRogueSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Rogue set, you are an excellent archer.\n\nBow and crossbow damage increased by {cvar(.armorSemiRogueFSBDisplay:0)}%","Даже в неполном комплекте Разбойника, Вы прекрасно стреляете из лука.\n\nУрон луков и арбалетов увеличен на {cvar(.armorSemiRogueFSBDisplay:0)}%"
buffRogueSetBonusDesc,buffs,Buff,,You are a master of archery.\n\nDamage of bows and crossbows increased by {cvar(.armorRogueFSBDisplay:0)}%,Вы мастер стрельбы из лука.\n\nУрон луков и арбалетов увеличен на {cvar(.armorRogueFSBDisplay:0)}%.

armorAthleticHelmetDesc,items,Clothes,,Light Armor\nSave some food and water for the marathon. Reduced water and food consumption.\n\nFull Set Bonus: Increases all experience gained.,Легкая броня\nСохраняйте часть еды и воды на марафон. Уменьшен расход воды и еды.\n\nБонус комплекта: Увеличивает весь получаемый опыт.
armorAthleticOutfitDesc,items,Clothes,,Light Armor\nSportsman's clothing on a slender body. Increases the amount of health.\n\nFull Set Bonus: Increases all experience gained.,Легкая броня\nОдежда спортсмена на стройном теле. Увеличивает количество здоровья.\n\nБонус комплекта: Увеличивает весь получаемый опыт.
armorAthleticGlovesDesc,items,Clothes,,Light Armor\nComfortable gloves for quick work with any weapon. Increases reload speed.\n\Set Bonus: Increases all experience gained.,Легкая броня\nУдобные перчатки для быстрой работы с любым оружием. Увеличивает скорость перезарядки.\n\nБонус комплекта: Увеличивает весь получаемый опыт.
armorAthleticBootsDesc,items,Clothes,,Light Armor\nComfortable shoes for jogging. Increases the speed of stamina regeneration when running.\n\nFull Set Bonus: Increases all experience gained.,Легкая броня\nУдобная обувь для пробежки. Увеличивает скорость регенерации выносливости при беге.\n\nБонус комплекта: Увеличивает весь получаемый опыт.
buffAthleticSetBonusTooltip,buffs,Buff,,Athletic Full Set Bonus Active,Бонус за полный комплект спортсмена активен
buffAthleticSemiSetBonusTooltip,buffs,Buff,,Athletic Semi Set Bonus Active,Бонус за полукомплект спортсмена активен
buffAthleticSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Athletic set, you can develop your skills.\n\nAll experience gained is increased by {cvar(.armorSemiAthleticFSBDisplay:0)}%","Даже в неполном комплекте Спортсмена вы можете развивать свои навыки.\n\nВесь получаемый опыт увеличен на {cvar(.armorSemiAthleticFSBDisplay:0)}%"
buffAthleticSetBonusDesc,buffs,Buff,,A healthy body means a healthy mind.\n\nAll experience gained is increased by {cvar(.armorAthleticFSBDisplay:0)}%,Здоровому телу - здоровый дух.\n\nВесь получаемый опыт увеличен на {cvar(.armorAthleticFSBDisplay:0)}%.

armorEnforcerHelmetDesc,items,Clothes,,Light Armor\nWith such a hat you can always negotiate a good price for your product. Increases selling price.\n\nFull Set Bonus: Increases the damage of the Gunslinger ability.,Легкая броня\nС такой шляпой вы всегда можете договориться о хорошей цене за ваш товар. Увеличивает стоимость продажи.\n\nБонус комплекта: Увеличивает урон от способности Стрелок.
armorEnforcerOutfitDesc,items,Clothes,,Light Armor\nStylish and lightweight materials mean you can withstand any impact. Increases resistance to critical injuries.\n\nFull Set Bonus: Increases the damage of the Gunslinger ability.,Легкая броня\nБлагодаря стильным и легким материалам вы сможете выдержать любой удар. Повышает сопротивление критическим травмам.\n\nБонус комплекта: Увеличивает урон от способности Стрелок.
armorEnforcerGlovesDesc,items,Clothes,,Light Armor\nThese gloves were worn back in the days of the Wild West. Increases pistols reload speed.\n\nFull Set Bonus: Increases the damage of the Gunslinger ability.,Легкая броня\nТакие перчатки носили еще во времена Дикого запада. Увеличивает скорость перезарядки ПП и пистолетов.\n\nБонус комплекта: Увеличивает урон от способности Стрелок.
armorEnforcerBootsDesc,items,Clothes,,Light Armor\nThese shoes will not soon become unusable. Increases stamina.\n\nFull Set Bonus: Increases the damage of the Gunslinger ability.,Легкая броня\nЭта обувь еще не скоро придет в негодность. Увеличивает запас выносливости.\n\nБонус комплекта: Увеличивает урон от способности Стрелок.
buffEnforcerSetBonusTooltip,buffs,Buff,,Enforcer Full Set Bonus Active,Бонус за полный комплект законника активен
buffEnforcerSemiSetBonusTooltip,buffs,Buff,,Enforcer Semi Set Bonus Active,Бонус за полукомплект законника активен
buffEnforcerSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Enforcer set, pistols are your best friends.\n\nDamage from SMGs and pistols increased by {cvar(.armorSemiEnforcerFSBDisplay:0)}%","Даже в неполном комплекте Законника, Ваши лучшие друзья - пистолеты.\n\nУрон от ПП и пистолетов увеличен на {cvar(.armorSemiEnforcerFSBDisplay:0)}%"
buffEnforcerSetBonusDesc,buffs,Buff,,Your best friends are pistols.\n\nGunslinger ability damage increased by {cvar(.armorEnforcerFSBDisplay:0)}%,Ваши лучшие друзья - пистолеты.\n\nУрон от ПП и пистолетов к увеличен на {cvar(.armorEnforcerFSBDisplay:0)}%.

armorFarmerHelmetDesc,items,Clothes,,"Medium Armor\nKeep the sun out of your eyes and on the prize. Increases the chance to find seeds in loot.\n\nFull Set Bonus: Adds a chance to harvest an extra crop.","Средняя броня\nНе позволяйте солнцу светить в глаза. Увеличивает вероятность найти семена в добыче.\n\nБонус за комплект: Дает возможность собрать дополнительный урожай."
armorFarmerOutfitDesc,items,Clothes,,"Medium Armor\nFarmers recover faster with food because they know how to get it. Increases health and stamina recovery from food.\n\nFull Set Bonus: Adds a chance to harvest an extra crop.","Средняя броня\nФермеры быстрее восстанавливаются благодаря еде, потому что знают, как ее добыть. Увеличивает восстановление здоровья и выносливости от еды.\n\nБонус за комплект: Дает возможность собрать дополнительный урожай."
armorFarmerGlovesDesc,items,Clothes,,"Medium Armor\nOnly a real farmer knows how to quickly harvest. Increases the attack speed of knives and machetes.\n\nFull Set Bonus: Adds a chance to harvest an extra crop.","Средняя броня\nТолько настоящий фермер знает как быстро собрать урожай. Увеличивает скорость атаки ножей и мачете.\n\nБонус за комплект: Дает возможность собрать дополнительный урожай."
armorFarmerBootsDesc,items,Clothes,,"Medium Armor\nNothing beats a comfortable pair of boots out in the field. Adds a chance to gain a seed when harvesting.\n\nFull Set Bonus: Adds a chance to harvest an extra crop.","Средняя броня\nВ поле без удобной пары обуви никуда. Дает возможность получить семена при сборе урожая.\n\nБонус за комплект: Дает возможность собрать дополнительный урожай."
buffFarmerSetBonusTooltip,buffs,Buff,,Farmer Full Set Bonus Active,Бонус за полный комплект фермера активен
buffFarmerSemiSetBonusTooltip,buffs,Buff,,Farmer Semi Set Bonus Active,Бонус за полукомплект фермера активен
buffFarmerSetBonusDesc,buffs,Buff,,"A real farmer knows how to harvest the crop correctly without damaging it.\n\nMakes it possible to collect an additional  {cvar(.armorFarmerFSBDisplay:0)}% of the harvest","Настоящий фермер знает как правильно собирать урожай не повредив его.\n\nДает возможность дополнительно собрать {cvar(.armorFarmerFSBDisplay:0)}% урожая"
buffFarmerSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Farmer's kit, you know how to properly harvest crops without damaging them.\n\nGives you the opportunity to additionally harvest {cvar(.armorSemiFarmerFSBDisplay:0)}% of the crop.","Даже в неполном комплекте Фермера, Вы знаете как правильно собирать урожай, не повредив его.\n\nДает возможность дополнительно собрать {cvar(.armorSemiFarmerFSBDisplay:0)}% урожая."

armorBikerHelmetDesc,items,Clothes,,"Medium Armor\nYou always easily adapt to new areas. Increases all experience gained in desert and winter biomes.\n\nFull Set Bonus: Additional experience for killing ferals and radiated zombies.","Средняя броня\nВы всегда легко адаптируетесь в новой местности. Увеличивает весь получаемый опыт в пустынном и зимнем биомах.\n\nБонус за комплект: Дополнительный опыт за убийство диких и зараженных зомби."
armorBikerOutfitDesc,items,Clothes,,"Medium Armor\nYou can easily put your face under attack. Increases the number of health points.\n\nFull Set Bonus: Additional experience for killing ferals and radiated zombies.","Средняя броня\nВы легко можете подставить лицо под удар. Увеличивает количество очков здоровья.\n\nБонус за комплект: Дополнительный опыт за убийство диких и зараженных зомби."
armorBikerGlovesDesc,items,Clothes,,"Medium Armor\nDon't fight back - so what? Increases the attack speed of clubs and sledgehammers.\n\nFull Set Bonus: Additional experience for killing ferals and radiated zombies.","Средняя броня\nНе дать сдачи - это как? Увеличивает скорость атаки дубин и кувалд.\n\nБонус за комплект: Дополнительный опыт за убийство диких и зараженных зомби."
armorBikerBootsDesc,items,Clothes,,"Medium Armor\nWithout transport it’s like without hands. Reduces fuel consumption of vehicles.\n\nFull Set Bonus: Additional experience for killing ferals and radiated zombies.","Средняя броня\nБез транспорта как без рук. Уменьшает расход топлива у транспорта.\n\nБонус за комплект: Дополнительный опыт за убийство диких и зараженных зомби."
buffBikerSetBonusTooltip,buffs,Buff,,Biker Full Set Bonus Active,Бонус за полный комплект байкера активен
buffBikerSemiSetBonusTooltip,buffs,Buff,,Biker Semi Set Bonus Active,Бонус за полукомплект байкера активен
buffBikerSetBonusDesc,buffs,Buff,,"Lover of stronger opponents.\n\nExperience for killing ferals and radiated zombies increased by {cvar(.armorBikerFSBDisplay:0)}%","Любитель противников посильнее.\n\nОпыт за убийство диких и зараженных зомби увеличен на {cvar(.armorBikerFSBDisplay:0)}%"
buffBikerSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Biker set, you are a fan of stronger opponents.\n\nExperience for killing wild and infected zombies increased by {cvar(.armorSemiBikerFSBDisplay:0)}%","Даже в неполном комплекте Байкера, Вы любитель противников посильнее.\n\nОпыт за убийство диких и зараженных зомби увеличен на {cvar(.armorSemiBikerFSBDisplay:0)}%"

armorScavengerOutfitDesc,items,Clothes,,"Medium Armor\nYou never know what you can do till you try. Increases the parsing speed and the number of items received.\n\nFull Set Bonus: Find better quality loot.","Средняя броня\nГлаза боятся, а руки делают. Увеличивает скорость разбора и количество получаемых предметов.\n\nБонус за полный комплект: повышает качество находимой добычи."
buffScavengerSetBonusTooltip,buffs,Buff,,Scavenger Full Set Bonus Active,Бонус за полный комплект мусорщика активен
buffScavengerSemiSetBonusTooltip,buffs,Buff,,Scavenger Semi Set Bonus Active,Бонус за полукомплект мусорщика активен
buffScavengerSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Scavenger set, you have a keen eye for finding valuable resources that would escape the gaze of others.\n\nYou find loot that is {cvar(.armorSemiScavengerFSBDisplay:0)}% higher in quality","Даже в неполном комплекте Мусорщика, у Вас наметанный глаз, вы можете найти ценные ресурсы, которые ускользнули бы от любого другого взгляда.\n\nВы находите добычу на {cvar(.armorSemiScavengerFSBDisplay:0)}% выше качеством"

armorRangerHelmetDesc,items,Clothes,,"Medium Armor\nRangers are ruthless negotiators, especially while wearing a well crafted hat. Increases bartering.\n\nFull Set Bonus: Increases all damage dealt and provides resistance to 1 radiation effect","Средняя броня\nЕгеря — отчаянные переговорщики, особенно если на них надета добротно сделанная шляпа. Повышает выгодность сделок при торговле.\n\nБонус за комплект: Увеличивает весь наносимый урон и дает сопротивление к 1 эффекту радиации"
armorRangerOutfitDesc,items,Clothes,,"Medium Armor\nNature has taught strength not only of the spirit, but also of the body. Increases the number of health points.\n\nFull Set Bonus: Increases all damage dealt and provides resistance to 1 radiation effect","Средняя броня\nПрирода научила крепости не только духа, но и тела. Увеличивает количество очков здоровья.\n\nБонус за комплект: Увеличивает весь наносимый урон и дает сопротивление к 1 эффекту радиации"
armorRangerGlovesDesc,items,Clothes,,"Medium Armor\nThese comfortable gloves allow you to quickly handle any weapon. Increases weapon reload speed.\n\nFull Set Bonus: Increases all damage dealt and provides resistance to 1 radiation effect","Средняя броня\nЭти удобные перчатки позволяют быстро управляться с любым оружием. Увеличивает скорость перезарядки оружия.\n\nБонус за комплект: Увеличивает весь наносимый урон и дает сопротивление к 1 эффекту радиации"
armorRangerBootsDesc,items,Clothes,,"Medium Armor\nEndurance is the key to successful survival in the wild. Increases stamina.\n\nFull Set Bonus: Increases all damage dealt and provides resistance to 1 radiation effect","Средняя броня\nЗапас выносливости залог успешного выживания в дикой местности. Увеличивает запас выносливости.\n\nБонус за комплект: Увеличивает весь наносимый урон и дает сопротивление к 1 эффекту радиации"
buffRangerSetBonusTooltip,buffs,Buff,,Ranger Full Set Bonus Active,Бонус за полный комплект егеря активен
buffRangerSemiSetBonusTooltip,buffs,Buff,,Ranger Semi Set Bonus Active,Бонус за полукомплект егеря активен
buffRangerSetBonusDesc,buffs,Buff,,"The ability to survive in any conditions allows you to deal increased damage with any weapon and in any weather.\n\nAll ranged damage increased by {cvar(.armorRangerFSBDisplay:0)}%\nGrants resistance to one active radiation effect.","Умение выживать в любых условиях позволяют вам наносить повышенный урон любым оружием и в любую погоду.\n\nВесь наносимый урон в дальнем бою увеличен на {cvar(.armorRangerFSBDisplay:0)}%\nДаёт сопротивление к одному эффекту активной радиации."
buffRangerSemiSetBonusDesc,buffs,Buff,,"Even with an incomplete Ranger set, you deal increased damage with any weapon and in any weather.\n\nAll ranged damage increased by {cvar(.armorSemiRangerFSBDisplay:0)}%","Даже в неполном комплекте Егеря, вы наносите повышенный урон любым оружием и в любую погоду.\n\nВесь наносимый урон в дальнем бою увеличен на {cvar(.armorSemiRangerFSBDisplay:0)}%"

armorCommandoHelmetDesc,items,Clothes,,"Medium Armor\nHard training and injuries were not in vain. Everything heals on you like on a dog.\n\nFull Set Bonus: Increases damage dealt by automatic weapons.","Средняя броня\nТяжелые тренировки и травмы не прошли даром. На вас все заживает как на собаке.\n\nБонус за комплект: Увеличивает урон наносимый автоматическим оружием."
armorCommandoOutfitDesc,items,Clothes,,"Medium Armor\nTrue commandos endure without flinching. Faster critical injury recovery.\n\nFull Set Bonus: Increases damage dealt by automatic weapons.","Средняя броня\nНастоящие спецназовцы выдерживают любой удар, не дрогнув. Ускоряет восстановление после критических травм.\n\nБонус за комплект: Увеличивает урон наносимый автоматическим оружием."
armorCommandoGlovesDesc,items,Clothes,,"Medium Armor\nA good shooter disassembles and reassembles his weapon with ease, and the reloading process is brought to perfection. Increases the reload speed of automatic weapons.\n\nFull Set Bonus: Increases damage dealt by automatic weapons.","Средняя броня\nХороший стрелок с легкостью разбирает и собирает свое оружие, а процесс перезарядки доведен до совершенства. Увеличивает скорость перезарядки автоматического оружия.\n\nБонус за комплект: Увеличивает урон наносимый автоматическим оружием."
armorCommandoBootsDesc,items,Clothes,,"Medium Armor\nThese shoes are suitable for the most challenging obstacle courses. Increases safe fall height.\n\nFull Set Bonus: Increases damage dealt by automatic weapons.","Средняя броня\nЭта обувь подойдет для самой сложной полосы препятствий. Увеличивает безопасную высоту падения.\n\nБонус за комплект: Увеличивает урон наносимый автоматическим оружием."
buffCommandoSetBonusTooltip,buffs,Buff,,Commando Full Set Bonus Active,Бонус за полный комплект спецназа активен
buffCommandoSemiSetBonusTooltip,buffs,Buff,,Commando Semi Set Bonus Active,Бонус за полукомплект спецназа активен
buffCommandoSetBonusDesc,buffs,Buff,,"Your weapons are machine guns and machine guns. You can do wonders with them.\n\nDamage dealt by automatic weapons increased by {cvar(.armorCommandoFSBDisplay:0)}%","Ваше оружие - пулеметы и автоматы. С ними вы можете творить чудеса.\n\nУрон наносимый автоматическим оружием увеличен на {cvar(.armorCommandoFSBDisplay:0)}%"
